caseNumber,caseLabel,profileIndex,velocityProfile,observedDepth_m,wavelength_m,initialPlanarVelocity_mps,nAdmissibleRoots,shallowOrSoleRoot_m,selectedDeepOrSoleRoot_m,allRoots_m
1,R1,1,uniform,1.80580383756933,NaN,0.106906376914692,0,NaN,NaN,
1,R1,2,uniform,1.92135442365543,3.73250794760593,1.31218208769393,1,0.180901556428256,0.180901556428256,0.180901556428256
1,R1,3,uniform,2.07335461259936,4.03727116703195,2.01580592191021,1,0.492233643742181,0.492233643742181,0.492233643742181
1,R1,4,uniform,2.05451979728059,4.60000000000007,2.15476169173873,1,0.563143253080129,0.563143253080129,0.563143253080129
1,R1,5,uniform,1.99818682130535,4.31115473057226,2.18618321454317,1,0.608784012934482,0.608784012934482,0.608784012934482
1,R1,6,uniform,1.94185384550838,4.14469055313476,2.31785483059577,1,0.784176401313863,0.784176401313863,0.784176401313863
1,R1,7,uniform,2.32736606938488,4.50014719513234,2.27540485580693,1,0.675834391388624,0.675834391388624,0.675834391388624
1,R1,8,uniform,2.49482590119987,4.39854715634169,2.36028681512463,1,0.791408124356858,0.791408124356858,0.791408124356858
1,R1,9,uniform,2.47068716703143,4.36221864137907,2.48583793743858,1,1.0496902704559,1.0496902704559,1.0496902704559
1,R1,10,uniform,2.51937214596364,4.23774109398128,2.64281055353918,0,NaN,NaN,
1,R1,11,uniform,2.56805612507469,4.46514361538265,2.58040948349916,1,1.34086492092445,1.34086492092445,1.34086492092445
1,R1,12,uniform,2.61674020054033,4.71475413952096,2.54538585336772,1,1.03282015000822,1.03282015000822,1.03282015000822
1,R1,13,uniform,2.65352198008259,NaN,2.66567825455501,0,NaN,NaN,
1,R1,14,uniform,2.6481049824024,4.51251007518856,2.65040300146573,1,2.33857284154835,2.33857284154835,2.33857284154835
1,R1,15,uniform,2.64268898458067,5.31791619675441,2.67631140732734,1,1.10336435685075,1.10336435685075,1.10336435685075
1,R1,16,uniform,2.6321469490149,NaN,2.86685969231555,0,NaN,NaN,
1,R1,17,uniform,2.61931972470575,NaN,2.8479554531889,0,NaN,NaN,
1,R1,18,uniform,2.54961375484527,NaN,2.71452995379858,0,NaN,NaN,
1,R1,19,uniform,2.47990778478106,NaN,2.61851330015456,0,NaN,NaN,
1,R1,20,uniform,2.4102018147023,NaN,2.5867158929143,0,NaN,NaN,
1,R1,21,uniform,2.28389332293227,NaN,2.4262279676519,0,NaN,NaN,
1,R1,1,linear,1.80580383756933,NaN,0.106906376914692,0,NaN,NaN,
1,R1,2,linear,1.92135442365543,3.73250794760593,1.31218208769393,0,NaN,NaN,
1,R1,3,linear,2.07335461259936,4.03727116703195,2.01580592191021,0,NaN,NaN,
1,R1,4,linear,2.05451979728059,4.60000000000007,2.15476169173873,0,NaN,NaN,
1,R1,5,linear,1.99818682130535,4.31115473057226,2.18618321454317,0,NaN,NaN,
1,R1,6,linear,1.94185384550838,4.14469055313476,2.31785483059577,0,NaN,NaN,
1,R1,7,linear,2.32736606938488,4.50014719513234,2.27540485580693,0,NaN,NaN,
1,R1,8,linear,2.49482590119987,4.39854715634169,2.36028681512463,0,NaN,NaN,
1,R1,9,linear,2.47068716703143,4.36221864137907,2.48583793743858,0,NaN,NaN,
1,R1,10,linear,2.51937214596364,4.23774109398128,2.64281055353918,2,0.815897540756524,3.83951699290325,0.815897540756524;3.83951699290325
1,R1,11,linear,2.56805612507469,4.46514361538265,2.58040948349916,0,NaN,NaN,
1,R1,12,linear,2.61674020054033,4.71475413952096,2.54538585336772,0,NaN,NaN,
1,R1,13,linear,2.65352198008259,NaN,2.66567825455501,0,NaN,NaN,
