caseNumber,caseLabel,discharge_Q_m3ps,nCommonValidTransects,khMedian,khQ25,khQ75,khErrLow,khErrHigh,constant_nPairs,constant_differenceMedian_pct,constant_differenceQ25_pct,constant_differenceQ75_pct,constant_differenceErrLow_pct,constant_differenceErrHigh_pct,linear_nPairs,linear_differenceMedian_pct,linear_differenceQ25_pct,linear_differenceQ75_pct,linear_differenceErrLow_pct,linear_differenceErrHigh_pct,power_nPairs,power_differenceMedian_pct,power_differenceQ25_pct,power_differenceQ75_pct,power_differenceErrLow_pct,power_differenceErrHigh_pct,includedInSensitivityPanel,sensitivityExclusionReason
1,R1,123,13,3.24950977323695,3.07772108150187,3.57625329093451,0.171788691735077,0.326743517697562,13,-0.150378328728434,-0.214655027822884,-0.0783310853208855,0.0642766990944506,0.0720472434075484,13,4.78860559124467,4.38899080017249,5.01522316452439,0.399614791072183,0.226617573279722,13,3.30981196433932,2.97136459079033,3.51199528705235,0.338447373548982,0.202183322713037,1,
2,R2,117,19,3.12793104450316,2.8585428853635,3.31701530929295,0.269388159139658,0.189084264789792,19,-0.191733266779289,-0.328412383066382,-0.131483670603681,0.136679116287093,0.0602495961756078,19,4.94758722691259,4.70260791428386,5.31266348876542,0.244979312628726,0.365076261852835,19,3.45020730064034,3.23535258660457,3.78829094404797,0.214854714035767,0.338083643407636,1,
3,R3,109,15,3.42339934812322,2.96126706817761,3.96286828845503,0.462132279945604,0.539468940331809,15,-0.10622885388748,-0.267496010749973,-0.0361697243055002,0.161267156862493,0.07005912958198,15,4.57049143721473,3.97403748949655,5.17211537684211,0.596453947718181,0.601623939627383,15,3.12270407554599,2.63819636748901,3.65521796686742,0.484507708056984,0.532513891321436,1,
4,R4,96,14,4.58564576392222,2.96536990996494,4.86884929721711,1.62027585395728,0.283203533294891,14,-0.010398432287978,-0.265299673475695,-0.00590144575280171,0.254901241187717,0.0044969865351763,14,3.4293559801411,3.22441643086563,5.16652095113688,0.204939549275471,1.73716497099578,14,2.22436092909795,2.07470735424585,3.64999835391364,0.1496535748521,1.42563742481569,1,
5,R5,90,17,3.00794848839935,2.92540044094975,3.32009140616259,0.082548047449599,0.312142917763243,17,-0.243669034416253,-0.287346532088532,-0.130719677073291,0.0436774976722789,0.112949357342962,17,5.10863654712128,4.69876149750914,5.2210934327829,0.409875049612144,0.112456885661619,17,3.59637660137264,3.23205958205914,3.70112865769572,0.364317019313508,0.104752056323079,1,
6,R6,81,19,4.1495923550867,3.50406630871978,4.61727090794248,0.645526046366928,0.46767855285578,19,-0.0248688599956627,-0.098628135726607,-0.0099736225365855,0.0737592757309442,0.0148952374590773,19,3.79559259443742,3.40686591043689,4.48465448942839,0.388726684000524,0.68906189499097,19,2.49986387852531,2.20801503845232,3.05430406905681,0.291848840072988,0.554440190531506,1,
7,R7,70,18,3.99068793396003,3.65765291151956,4.22530127420629,0.33303502244047,0.234613340246261,18,-0.0342428235463232,-0.0665056674566627,-0.0213748724575921,0.0322628439103394,0.0128679510887312,18,3.94667918556509,3.72714130473403,4.29623299239204,0.219537880831064,0.349553806826953,18,2.61682713421091,2.44754099666063,2.89536155444061,0.169286137550281,0.278534420229703,1,
8,R8,61,17,3.73578616757763,3.26352972745038,4.6249274589557,0.472256440127257,0.889141291378072,17,-0.0568871075586431,-0.148519743922238,-0.0101947037985855,0.091632636363595,0.0466924037600576,17,4.20996465787442,3.40462950542455,4.77186634977546,0.805335152449863,0.561901691901046,17,2.82550473780155,2.20680358631264,3.29609028745524,0.618701151488917,0.470585549653692,1,
9,R9,51,20,5.35232610748175,4.89702485984913,5.83004725170572,0.455301247632623,0.477721144223965,20,-0.00225014899964869,-0.00561938437319077,-0.000863181469429257,0.00336923537354208,0.00138696753021944,20,2.92381750018008,2.67569988228868,3.20577936655685,0.248117617891402,0.281961866376761,20,1.86053577596814,1.68809296999297,2.06130788732599,0.172442805975176,0.200772111357849,1,
10,R10,40,16,5.68642550532704,4.99046775180788,6.44823715858738,0.69595775351916,0.761811653260341,16,-0.00115740971295201,-0.00526383886653748,-0.000254957553632774,0.00410642915358547,0.00090245215931924,16,2.74607374683074,2.41092241325552,3.15198548040973,0.335151333575228,0.405911733578989,16,1.73664450582412,1.50804194705533,2.02352575675177,0.228602558768783,0.286881250927653,1,
11,R11,30,15,7.88740389489143,7.1688628443556,8.28098953392543,0.71854105053583,0.393585639033998,15,-1.40957436529972e-05,-6.02867106935793e-05,-6.41923292609874e-06,4.61909670405821e-05,7.67651072689847e-06,15,1.95778102509191,1.86213027024496,2.16075078843255,0.0956507548469456,0.202969763340642,15,1.20805835024846,1.14593318613173,1.34123320429562,0.0621251641167329,0.133174854047163,1,
12,R12,20,16,13.0547127199322,10.4938238626994,17.0066929771458,2.56088885723279,3.95198025721356,16,-7.01010131962986e-10,-7.46842345508537e-07,-1.59840478729385e-12,7.46141335376574e-07,6.99411727175692e-10,16,1.17094215102666,0.900724901175992,1.4919240249675,0.270217249850669,0.320981873940843,16,0.707603830876252,0.54080177356365,0.909802382190139,0.166802057312602,0.202198551313887,0,Rejected erroneous wavelength reconstruction
13,R13,15,20,1.55556812265074,1.26104710612045,8.99154261179562,0.294521016530292,7.43597448914488,20,-4.36116848206501,-7.76379127875589,-8.68767348987134e-05,3.40262279669088,4.36108160533011,20,2.55970741873001,1.0684536226822,4.7896581458891,1.49125379604781,2.22995072715908,20,2.36532630432049,0.644075897631729,4.30624844319284,1.72125040668876,1.94092213887235,0,Rejected erroneous wavelength reconstruction
